Movie ID,Primary Title,Movie Length,Genres,Average Rating,Num of Votes,Primary Name,Position,Weighted Rating
tt5813916,The Mountain II,135.0,"Action,Drama,War",9.3,100568,Murat Arkin,actor,9.127445161842545
tt2592910,CM101MMXI Fundamentals,139.0,"Comedy,Documentary",9.2,41560,Can Yilmaz,producer,8.835188417244192
tt1375666,Inception,148.0,"Action,Adventure,Sci-Fi",8.8,1841066,Leonardo DiCaprio,actor,8.791940965997428
tt0816692,Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,Matthew McConaughey,actor,8.589748004528502
tt5354160,Aynabaji,147.0,"Crime,Mystery,Thriller",9.3,18470,Amitabh Reza Chowdhury,director,8.581953937235271
tt2170667,Wheels,115.0,Drama,9.3,17308,Kevin McCorkle,actor,8.548320854159948
tt1675434,The Intouchables,112.0,"Biography,Comedy,Drama",8.5,677343,François Cluzet,actor,8.481532035444621
tt4154756,Avengers: Infinity War,149.0,"Action,Adventure,Sci-Fi",8.5,670926,Robert Downey Jr.,actor,8.48135735327066
tt2582802,Whiplash,106.0,"Drama,Music",8.5,616916,Paul Reiser,actor,8.479744823563138
tt4633694,Spider-Man: Into the Spider-Verse,117.0,"Action,Adventure,Animation",8.5,210869,Avi Arad,producer,8.442081264968929
tt5074352,Dangal,161.0,"Action,Biography,Drama",8.5,123638,Aamir Khan,actor,8.40355460469124
tt1345836,The Dark Knight Rises,164.0,"Action,Thriller",8.4,1387769,Gary Oldman,actor,8.391472858459553
tt1853728,Django Unchained,165.0,"Drama,Western",8.4,1211405,Leonardo DiCaprio,actor,8.390239061903923
tt1424432,Senna,106.0,"Biography,Documentary,Sport",8.6,55318,Tim Bevan,producer,8.386722655130695
tt2380307,Coco,105.0,"Adventure,Animation,Comedy",8.4,277194,Benjamin Bratt,actor,8.358208967347398
tt3417422,Drishyam,160.0,"Crime,Drama,Thriller",8.8,24326,Mohanlal,actor,8.33190296455728
tt5311514,Your Name.,106.0,"Animation,Drama,Fantasy",8.4,134084,Clark Cheng,writer,8.315967508687422
tt6316138,Ayla: The Daughter of War,125.0,"Drama,History,War",8.7,26743,Mustafa Presheva,editor,8.286845304149752
tt0435761,Toy Story 3,103.0,"Adventure,Animation,Comedy",8.3,682218,Tom Hanks,actor,8.283837370853016
tt7738784,Peranbu,147.0,Drama,9.4,9629,Mammootty,actor,8.267554658765837
tt2106476,The Hunt,115.0,Drama,8.3,242765,Nikolaj Egelund,composer,8.255456591013527
tt8108198,Andhadhun,139.0,"Crime,Thriller",8.5,43409,Tabu,actress,8.251563451452592
tt6966692,Green Book,130.0,"Biography,Comedy,Drama",8.3,204972,Viggo Mortensen,actor,8.247533527947212
tt1832382,A Separation,123.0,"Drama,Thriller",8.3,197684,Leila Hatami,actress,8.245669953553884
tt8291224,Uri: The Surgical Strike,138.0,"Action,Drama,War",8.6,30292,Paresh Rawal,actor,8.245489620819221
tt1255953,Incendies,131.0,"Drama,Mystery,War",8.3,124156,Lubna Azabal,actress,8.215327396776448
tt0993846,The Wolf of Wall Street,180.0,"Biography,Crime,Drama",8.2,1035358,Leonardo DiCaprio,actor,8.190029652886585
tt1291584,Warrior,140.0,"Drama,Sport",8.2,403755,Nick Nolte,actor,8.174717252677778
tt5027774,"Three Billboards Outside Ebbing, Missouri",115.0,"Crime,Drama",8.2,344047,Woody Harrelson,actor,8.170423140433568
tt3170832,Room,118.0,"Drama,Thriller",8.2,316791,Sean Bridgers,actor,8.167937265449858
tt0770802,Samsara,102.0,"Documentary,Music",8.5,29725,Ron Fricke,director,8.160237575554063
tt6148156,Vikram Vedha,147.0,"Action,Crime,Thriller",8.7,18704,Madhavan,actor,8.16009554838956
tt4849438,Baahubali 2: The Conclusion,167.0,"Action,Drama",8.3,65656,S.S. Rajamouli,director,8.14761801834436
tt1645089,Inside Job,109.0,"Crime,Documentary",8.3,65304,Matt Damon,self,8.146881266826
tt2338151,PK,153.0,"Comedy,Drama,Fantasy",8.2,138012,Sanjay Dutt,actor,8.128544338267634
tt4430212,Drishyam,163.0,"Crime,Drama,Mystery",8.3,54991,Tabu,actress,8.121611812100944
tt0848228,The Avengers,143.0,"Action,Adventure,Sci-Fi",8.1,1183655,Robert Downey Jr.,actor,8.091900587035273
tt1130884,Shutter Island,138.0,"Mystery,Thriller",8.1,1005960,Leonardo DiCaprio,actor,8.090480476535827
tt2015381,Guardians of the Galaxy,121.0,"Action,Adventure,Comedy",8.1,948394,Vin Diesel,actor,8.089907190284697
tt1392190,Mad Max: Fury Road,120.0,"Action,Adventure,Sci-Fi",8.1,780910,Charlize Theron,actress,8.087763148298475
tt2267998,Gone Girl,149.0,"Drama,Mystery,Thriller",8.1,761592,Ben Affleck,actor,8.087455783898415
tt1201607,Harry Potter and the Deathly Hallows: Part 2,130.0,"Adventure,Drama,Fantasy",8.1,691835,Michael Gambon,actor,8.086204528230391
tt2024544,12 Years a Slave,134.0,"Biography,Drama,History",8.1,577301,Brad Pitt,actor,8.083502668001593
tt3315342,Logan,137.0,"Action,Drama,Sci-Fi",8.1,560270,Patrick Stewart,actor,8.083007809060007
tt1392214,Prisoners,153.0,"Crime,Drama,Mystery",8.1,526273,Kira Davis,producer,8.08192554466037
tt1979320,Rush,123.0,"Action,Biography,Drama",8.1,393437,Ron Howard,director,8.075937226422106
tt1454029,The Help,146.0,Drama,8.1,392699,Chris Columbus,producer,8.075892852680791
tt2119532,Hacksaw Ridge,139.0,"Biography,Drama,History",8.1,366904,Mel Gibson,director,8.074231962665996
tt1895587,Spotlight,129.0,"Crime,Drama",8.1,365110,Michael Keaton,actor,8.074107897667803
tt2375559,1 - Nenokkadine,170.0,"Action,Mystery,Thriller",8.3,41124,Nassar,actor,8.070737573009215
tt2199711,Vishwaroopam,148.0,"Action,Thriller",8.3,37803,Miles Anderson,actor,8.053931169017506
tt3741834,Lion,118.0,"Biography,Drama",8.1,181601,Nicole Kidman,actress,8.048981463609394
tt8267604,Capernaum,126.0,Drama,8.5,20215,Kawsar Al Haddad,actress,8.04365303084972
tt3011894,Wild Tales,122.0,"Comedy,Drama,Thriller",8.1,151123,Pedro Almodóvar,producer,8.039178705168858
tt3322420,Queen,146.0,"Comedy,Drama",8.2,55162,Anurag Kashyap,producer,8.034067596789123
tt7392212,The Stage,170.0,"Action,Drama",8.6,15407,Jagapathi Babu,actor,8.015128290478893
tt2631186,Baahubali: The Beginning,159.0,"Action,Drama",8.1,93243,Ramya Krishnan,actress,8.004234971660562
tt2283748,OMG: Oh My God!,125.0,"Comedy,Drama,Fantasy",8.2,44377,Mithun Chakraborty,actor,7.999570980395935
tt4857264,Contratiempo,106.0,"Crime,Mystery,Thriller",8.1,84318,Jose Coronado,actor,7.994926308022392
tt7019842,96,158.0,"Drama,Romance",8.8,10903,Adithya Bhaskar,actor,7.990476756507093
tt1431045,Deadpool,108.0,"Action,Adventure,Comedy",8.0,820847,Ryan Reynolds,actor,7.989258539899342
tt4016934,The Handmaiden,145.0,"Drama,Romance,Thriller",8.1,79272,Chung-hoon Chung,cinematographer,7.98881602072097
tt2488496,Star Wars: Episode VII - The Force Awakens,136.0,"Action,Adventure,Fantasy",8.0,784780,George Lucas,writer,7.988769555901954
tt3659388,The Martian,144.0,"Adventure,Drama,Sci-Fi",8.0,680116,Matt Damon,actor,7.9870601378531045
tt0947798,Black Swan,108.0,"Drama,Thriller",8.0,648854,Natalie Portman,actress,7.986443814999223
tt1663202,The Revenant,156.0,"Action,Adventure,Biography",8.0,621193,Leonardo DiCaprio,actor,7.985847375030421
tt2084970,The Imitation Game,114.0,"Biography,Drama,Thriller",8.0,620834,Matthew Goode,actor,7.985839288897306
tt1877832,X-Men: Days of Future Past,132.0,"Action,Adventure,Sci-Fi",8.0,620079,Bryan Singer,director,7.985822253054994
tt1504320,The King's Speech,118.0,"Biography,Drama,History",8.0,593629,Colin Firth,actor,7.985198424547809
tt1798709,Her,126.0,"Drama,Romance,Sci-Fi",8.0,467232,Joaquin Phoenix,actor,7.981257517399291
tt3783958,La La Land,128.0,"Comedy,Drama,Music",8.0,436070,Ryan Gosling,actor,7.979940806975224
tt1659337,The Perks of Being a Wallflower,103.0,Drama,8.0,422671,John Malkovich,producer,7.9793160016598055
tt0790636,Dallas Buyers Club,117.0,"Biography,Drama",8.0,402462,Matthew McConaughey,actor,7.978296387835946
tt2948356,Zootopia,108.0,"Adventure,Animation,Comedy",8.0,383446,Jason Bateman,actor,7.977240702680165
tt1856101,Blade Runner 2049,164.0,"Drama,Mystery,Sci-Fi",8.0,376241,Harrison Ford,actor,7.976813381291027
tt1639426,Udaan,134.0,Drama,8.2,38827,Vikramaditya Motwane,director,7.975559473956871
tt1727824,Bohemian Rhapsody,134.0,"Biography,Drama,Music",8.0,345466,Bryan Singer,director,7.9747917469387986
tt2082197,Barfi!,151.0,"Comedy,Drama,Romance",8.1,68941,Ronnie Screwvala,producer,7.973789507594092
tt7060344,Ratsasan,170.0,"Action,Crime,Thriller",8.8,10518,Nizhalgal Ravi,actor,7.973179251304252
tt1562872,Zindagi Na Milegi Dobara,155.0,"Comedy,Drama",8.1,58912,Hrithik Roshan,actor,7.95473022571222
tt7838252,K.G.F: Chapter 1,156.0,"Action,Drama",8.3,23771,Archana Jois,actress,7.943514558216879
tt7775622,Free Solo,100.0,"Documentary,Sport",8.2,32250,Marco Beltrami,composer,7.938423742138365
tt5571734,Pink,136.0,"Drama,Thriller",8.2,32238,Amitabh Bachchan,actor,7.938344751874779
tt1821480,Kahaani,122.0,"Mystery,Thriller",8.1,51830,Sujoy Ghosh,director,7.937389916568346
tt2375605,The Act of Killing,117.0,"Crime,Documentary",8.2,31115,Joram ten Brink,producer,7.930735303638483
tt4387040,Airlift,130.0,"Drama,History",8.1,48323,Akshay Kumar,actor,7.92717417104061
tt4044364,Citizenfour,114.0,"Biography,Documentary,Thriller",8.1,47994,Mathilde Bonnefoy,producer,7.926149561213824
tt2543472,Wonder,113.0,"Drama,Family",8.0,111632,Julia Roberts,actress,7.925312625910755
tt2265171,The Raid 2,150.0,"Action,Crime,Thriller",8.0,104517,Nate Bolotin,producer,7.920568697162039
tt3674140,The Salt of the Earth,110.0,"Biography,Documentary,History",8.4,17262,Wim Wenders,self,7.919519576367015
tt3390572,Haider,160.0,"Action,Crime,Drama",8.1,45863,William Shakespeare,writer,7.919207011412402
tt1620933,Paan Singh Tomar,135.0,"Action,Biography,Crime",8.2,29373,Tigmanshu Dhulia,director,7.918014366880914
tt1188996,My Name Is Khan,165.0,Drama,8.0,90988,Kajol,actress,7.909657458269027
tt3612616,Mommy,139.0,Drama,8.1,43020,Suzanne Clément,actress,7.909032932501979
tt4987556,Thani Oruvan,160.0,"Action,Crime,Thriller",8.5,13747,Nassar,actor,7.904732138654869
tt6146586,John Wick: Chapter 3 - Parabellum,131.0,"Action,Crime,Thriller",8.0,81568,Keanu Reeves,actor,7.900102660326942
tt1555149,Elite Squad: The Enemy Within,115.0,"Action,Crime,Drama",8.0,75071,Lula Carvalho,cinematographer,7.892242358091824
tt3544112,Sing Street,106.0,"Comedy,Drama,Music",8.0,74651,Anthony Bregman,producer,7.891691443196066
tt0903624,The Hobbit: An Unexpected Journey,169.0,"Adventure,Family,Fantasy",7.9,719629,Peter Jackson,director,7.888794758220343
tt1631867,Edge of Tomorrow,113.0,"Action,Sci-Fi",7.9,546284,Tom Cruise,actor,7.885287302901493
tt0454876,Life of Pi,127.0,"Adventure,Drama,Fantasy",7.9,535836,Ang Lee,director,7.885004387248407
tt2543164,Arrival,116.0,"Drama,Mystery,Sci-Fi",7.9,515483,Forest Whitaker,actor,7.884420800962938
tt4934950,Talvar,132.0,"Crime,Drama,Mystery",8.2,25443,Vishal Bhardwaj,writer,7.884374335974258
tt3501632,Thor: Ragnarok,130.0,"Action,Adventure,Comedy",7.9,482995,Cate Blanchett,actress,7.88338891069226
tt5013056,Dunkirk,106.0,"Action,Drama,History",7.9,466580,Hans Zimmer,composer,7.8828137524257516
tt2872718,Nightcrawler,117.0,"Crime,Drama,Thriller",7.9,404476,Bill Paxton,actor,7.880222983256306
tt5323662,A Silent Voice,130.0,"Animation,Drama,Romance",8.2,24863,Miyu Irino,actor,7.878717787287951
tt3863552,Bajrangi Bhaijaan,163.0,"Action,Comedy,Drama",8.0,63747,Kareena Kapoor,actress,7.875115355734276
tt1065073,Boyhood,165.0,Drama,7.9,315584,Patricia Arquette,actress,7.874781616390784
tt1655442,The Artist,100.0,"Comedy,Drama,Romance",7.9,217184,James Cromwell,actor,7.863737265448363
tt5867800,Aruvi,130.0,Drama,8.8,8277,S.R. Prakashbabu,producer,7.855735802117007
tt2395469,Gully Boy,153.0,"Drama,Music",8.3,17483,Zoya Akhtar,director,7.853790327422648
tt2140203,Wolf Children,117.0,"Animation,Drama,Family",8.1,31619,Mamoru Hosoda,director,7.853376715918096
tt1398426,Straight Outta Compton,147.0,"Biography,Drama,History",7.9,165307,Matt Alvarez,producer,7.852851121482347
tt3553976,Captain Fantastic,118.0,"Comedy,Drama",7.9,159329,Viggo Mortensen,actor,7.851161631071337
tt5726616,Call Me by Your Name,132.0,"Drama,Romance",7.9,153936,Amira Casar,actress,7.849530115649546
tt3461252,The Blue Elephant,170.0,"Drama,Horror,Mystery",8.2,21776,Khaled El-Sawi,actor,7.844840270187183
tt3848892,Baby,159.0,"Action,Thriller",8.0,48318,Danny Denzongpa,actor,7.840595215701029
tt2209418,Before Midnight,109.0,"Drama,Romance",7.9,123107,Ethan Hawke,actor,7.837617001768665
tt1821700,Waar,130.0,"Action,Crime,Thriller",8.1,28950,Shaan Shahid,actor,7.835318072702332
tt2377938,Special 26,144.0,"Crime,Drama,Thriller",8.0,45299,Manoj Bajpayee,actor,7.831480591488475
tt5104604,Isle of Dogs,101.0,"Adventure,Animation,Comedy",7.9,108245,Bob Balaban,actor,7.829606840468271
tt4432480,RangiTaranga,149.0,"Mystery,Thriller",8.5,11203,Sai Kumar,actor,7.8237632331711495
tt5895028,13th,100.0,"Crime,Documentary,History",8.2,19507,Howard Barish,producer,7.815001434813196
tt4698684,Hunt for the Wilderpeople,101.0,"Adventure,Comedy,Drama",7.9,87532,Sam Neill,actor,7.814264076837277
tt1602620,Amour,127.0,"Drama,Romance",7.9,84960,Isabelle Huppert,actress,7.811879123404716
tt1843866,Captain America: The Winter Soldier,136.0,"Action,Adventure,Sci-Fi",7.8,666252,Samuel L. Jackson,actor,7.7890202088453915
tt1074638,Skyfall,143.0,"Action,Adventure,Thriller",7.8,592221,Javier Bardem,actor,7.787664837065902
tt3498820,Captain America: Civil War,147.0,"Action,Adventure,Sci-Fi",7.8,583507,Robert Downey Jr.,actor,7.787482963399756
tt1170358,The Hobbit: The Desolation of Smaug,161.0,"Adventure,Fantasy",7.8,565563,Peter Jackson,director,7.787091024459789
tt0780504,Drive,100.0,"Crime,Drama",7.8,521495,Albert Brooks,actor,7.786015640506999
tt3748528,Rogue One: A Star Wars Story,133.0,"Action,Adventure,Sci-Fi",7.8,478592,George Lucas,writer,7.784781365975988
tt8239946,Tumbbad,104.0,"Drama,Fantasy,Horror",8.3,14128,Narayan Dharap,writer,7.784572949417423
tt3460252,The Hateful Eight,168.0,"Crime,Drama,Mystery",7.8,434966,Samuel L. Jackson,actor,7.783280848132964
tt5463162,Deadpool 2,119.0,"Action,Adventure,Comedy",7.8,391735,Josh Brolin,actor,7.781470421556226
tt1568346,The Girl with the Dragon Tattoo,158.0,"Crime,Drama,Mystery",7.8,387580,David Fincher,director,7.781275548623063
tt1535109,Captain Phillips,134.0,"Biography,Drama,Thriller",7.8,387402,Tom Hanks,actor,7.781267108675063
tt2245084,Big Hero 6,102.0,"Action,Adventure,Animation",7.8,371204,Scott Adsit,actor,7.78046586186045
tt0398286,Tangled,100.0,"Adventure,Animation,Comedy",7.8,366366,Ron Perlman,actor,7.780213081023682
tt0964517,The Fighter,116.0,"Biography,Drama,Sport",7.8,316539,Mark Wahlberg,actor,7.7771704756217614
tt1596363,The Big Short,130.0,"Biography,Comedy,Drama",7.8,309227,Brad Pitt,actor,7.776643430304331
tt1490017,The Lego Movie,100.0,"Action,Adventure,Animation",7.8,304179,Will Ferrell,actor,7.776265143785754
tt4679210,Premam,156.0,"Comedy,Drama,Romance",8.3,13705,Anwar Rasheed,producer,7.774291145956143
tt1646971,How to Train Your Dragon 2,102.0,"Action,Adventure,Animation",7.8,278205,Cate Blanchett,actress,7.774107361614252
tt2194499,About Time,123.0,"Comedy,Drama,Fantasy",7.8,263136,Nicky Kentish Barnes,producer,7.772665660702936
tt1517451,A Star Is Born,136.0,"Drama,Music,Romance",7.8,249245,Sam Elliott,actor,7.771186756314631
tt8075192,Shoplifters,121.0,"Crime,Drama",8.0,31228,Haruomi Hosono,composer,7.770252627298079
tt4912910,Mission: Impossible - Fallout,147.0,"Action,Adventure,Thriller",7.8,233877,Tom Cruise,actor,7.769352273621762
tt4034228,Manchester by the Sea,137.0,Drama,7.8,214557,Matt Damon,producer,7.766685777750758
tt4846340,Hidden Figures,127.0,"Biography,Drama,History",7.8,171131,Kevin Costner,actor,7.758586940396683
tt2576852,The Tale of The Princess Kaguya,137.0,"Adventure,Animation,Drama",8.0,29108,James Caan,actor,7.7569477641499125
tt2181831,Shahid,129.0,"Biography,Crime,Drama",8.3,12984,Sunil Bohra,producer,7.755787138742434
tt3668162,Bangalore Days,171.0,"Comedy,Drama,Romance",8.3,12922,Fahadh Faasil,actor,7.754134940260504
tt4468740,Paddington 2,103.0,"Adventure,Comedy,Family",7.9,46481,Hugh Grant,actor,7.749064369870881
tt2278871,Blue Is the Warmest Color,180.0,"Drama,Romance",7.8,124409,Abdellatif Kechiche,director,7.743918487366289
tt5168192,"I, Daniel Blake",100.0,Drama,7.9,44200,George Fenton,composer,7.742405101547389
tt2358592,Lucia,135.0,"Drama,Romance,Sci-Fi",8.4,10522,Sabreen Baker,actress,7.739825976584175
tt2582496,Me and Earl and the Dying Girl,105.0,"Comedy,Drama,Romance",7.8,112627,Alfonso Gomez-Rejon,director,7.738418038825577
tt6155172,Roma,135.0,Drama,7.8,106768,Eugenio Caballero,production_designer,7.735260473185843
tt4302938,Kubo and the Two Strings,101.0,"Action,Adventure,Animation",7.8,105578,Ralph Fiennes,actor,7.734579173225561
tt4635372,Masaan,109.0,Drama,8.1,18705,Anurag Kashyap,producer,7.731839105132607
tt7725596,Badhaai Ho,124.0,"Comedy,Drama",8.1,18636,Neena Gupta,actress,7.73086714684726
tt6452574,Sanju,155.0,"Biography,Drama",7.9,40473,A.R. Rahman,composer,7.7301616273737315
tt1924396,The Best Offer,131.0,"Crime,Drama,Mystery",7.8,96073,Donald Sutherland,actor,7.728575437131299
tt1588170,I Saw the Devil,142.0,"Action,Crime,Drama",7.8,94029,Min-sik Choi,actor,7.7271375050478195
tt6380520,Dhuruvangal Pathinaaru,105.0,"Action,Crime,Mystery",8.5,8560,Rahman,actor,7.712474704234122
tt2358891,The Great Beauty,141.0,Drama,7.8,72297,Luca Bigazzi,cinematographer,7.7072940555409355
tt1827487,Once Upon a Time in Anatolia,157.0,"Crime,Drama",7.9,34691,Taner Birsel,actor,7.706886391647508
tt5312232,Sairat,174.0,"Drama,Romance",8.4,9656,Nitin Keni,producer,7.706501734087199
tt2882328,Ugly,128.0,"Crime,Drama,Mystery",8.1,16773,Vikramaditya Motwane,producer,7.702535481811065
tt6485666,Mersal,172.0,"Action,Thriller",8.0,21988,S.J. Surya,actor,7.698261792932718
tt1365050,Beasts of No Nation,137.0,"Drama,War",7.8,63797,Idris Elba,producer,7.696241689692413
tt2013293,The Wind Rises,126.0,"Animation,Biography,Drama",7.8,60943,Hideaki Anno,actor,7.691915078970823
tt1045658,Silver Linings Playbook,122.0,"Comedy,Drama,Romance",7.7,621018,Robert De Niro,actor,7.689423284217795
tt1270798,X-Men: First Class,131.0,"Action,Adventure,Sci-Fi",7.7,608930,Kevin Bacon,actor,7.689215878120793
tt1285016,The Social Network,120.0,"Biography,Drama",7.7,568578,David Fincher,director,7.6884604927631335
tt2802144,Kingsman: The Secret Service,129.0,"Action,Adventure,Comedy",7.7,544510,Colin Firth,actor,7.687957362638358
tt1024648,Argo,120.0,"Biography,Drama,Thriller",7.7,534683,George Clooney,producer,7.687739091321565
tt2562232,Birdman or (The Unexpected Virtue of Ignorance),119.0,"Comedy,Drama",7.7,519417,Michael Keaton,actor,7.687383864536541
tt3896198,Guardians of the Galaxy Vol. 2,136.0,"Action,Adventure,Comedy",7.7,482917,Vin Diesel,actor,7.686444890266854
tt1408101,Star Trek Into Darkness,132.0,"Action,Adventure,Sci-Fi",7.7,445535,J.J. Abrams,director,7.685326395863454
tt0926084,Harry Potter and the Deathly Hallows: Part 1,146.0,"Adventure,Fantasy,Mystery",7.7,425530,Alexandre Desplat,composer,7.684648508763828
tt0470752,Ex Machina,108.0,"Drama,Mystery,Sci-Fi",7.7,424542,Geoff Barrow,composer,7.684613402747882
tt2181931,English Vinglish,134.0,"Comedy,Drama,Family",7.9,30323,Sridevi,actress,7.684584611215398
tt5052448,Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474,Catherine Keener,actress,7.683705686514338
tt1527788,The Man from Nowhere,119.0,"Action,Drama,Thriller",7.8,55247,Sang-beom Kim,editor,7.682103427255487
tt2980516,The Theory of Everything,123.0,"Biography,Drama,Romance",7.7,361534,Tim Bevan,producer,7.681986331205255
tt1772341,Wreck-It Ralph,101.0,"Adventure,Animation,Comedy",7.7,344496,John C. Reilly,actor,7.6811143983170265
